Element ID,Object ID,Object Metadata ID,Metadata Column,Metadata Value,Table Name,Field Name,Description,Enum Class,UOM,Question Order,SES Class,SES_Alt1,SES_Alt2,SES_Alt3
1,,1,,,OVERSITE,ONAME,Site Name,,,Top,,,,
2,,1,,,OVERSITE,RID,Research ID,1,,Top,,,,
3,,1,,,OVERSITE,CID,Country ID,2,,Top,,,,
4,,1,,,OVERSITE,SID,Site ID,,,Top,,,,
5,,1,,,OVERSITE,VISITDATE,Date of Visit,,,Top,,,,
6,,1,,,OVERSITE,OCODED,Previously Coded,3,,Top,,,,
7,,1,,,OVERSITE,OSTRTVISIT,Beginning date of this site visit,,,A1,,,,
8,,1,,,OVERSITE,OENDVISIT,Ending date of this site visit,,,A2,,,,
9,,1,,,OVERSITE,OTMONSITE,Was the team onsite,4,,A3,,,,
10,,1,,,OVERSITE,OPROJNAME,IFRI project name,,,A4,,,,
11,,1,,,OVERSITE,OSAMPFRAME,Sampling frame information,,,A5,,,,
12,,1,,,OVERSITE,OTMLEADER,Team leader name(s),,,A6,,,,
13,,1,,,OVERSITE,OFORSPEC,Forest specialist name(s),,,A7,,,,
14,,1,,,OVERSITE,OTEAMINFO,Team information,,,A8,,,,
15,,1,,,OVERSITE,OBOTANSRC,Botanical sources consulted,,,A9,,,,
16,,1,,,OVERSITE,ODISCNAME,List names of people with whom discussions were held,,,A10,,,,
17,,1,,,OVERSITE,OINFMETHOD,Methods/locations to obtain information,,,A11,,,,
18,,1,,,OVERSITE,OSITEDESC,Please give a general site description,,,A12,,,,
19,1,,,,OVERSITE,OHISTCHNG,Have there been any major site changes since last visit?,,,B0,O2,,,
20,,1,,,OVERSITE,OCODEBASIS,Basis for data collection coding,5,,B1,,,,
21,,1,,,OVERSITE,OCODEOTH,Language/Name of translator,,,B1,,,,
22,,1,,,OVERSITE,ODATASRCE,From what sources have data been collected,6,,B2,,,,
23,,1,,,OVERSITE,OSECSRCE,Please list secondary data sources,,,B2a,,,,
24,,1,,,OVERSITE,OCENSAVAIL,Are Census data available?,4,,B3,,,,
25,,1,,,OVERSITE,OCENSUSE,Use of census data,7,,B3a,,,,
26,,1,,,OVERSITE,OCENSFILES,"describe census file names,locations,and availability",,,B3b,,,,
27,,1,,,OVERSITE,OHHSURVEY,Has a household survey been conducted,4,,B4,,,,
28,,1,,,OVERSITE,OHHDATAHOW,How are household data stored,,,B5,,,,
29,,1,,,OVERSITE,OFIELDINFO,Describe the field methods used,,,B6,,,,
30,,1,,,OVERSITE,OALLNAMES,"Names of forest(s), settlement(s), user group(s), etc",,,B7,,,,
31,,1,,,OVERSITE,OVERIFY,Has site been chosen for verification,4,,B8,,,,
32,,1,,,OVERSITE,OVERRESUL,Describe the verification results,,,B8a,,,,
33,,1,,,OVERSITE,OSEASON1,Name of the first season (or Annual),,,C1,,,,
34,1,,,,OVERSITE,OTEMP1,First season (or Annual) average temperature (cent),,centigrade,C1,RS6,,,
35,1,,,,OVERSITE,OPRECIP1,First season (or Annual) average precipitation (mm),,millimeters,C1,RS6,,,
36,,1,,,OVERSITE,OSEASON2,Name of the second season,,,C1,,,,
37,1,,,,OVERSITE,OTEMP2,Second season average temperature (cent),,centigrade,C1,RS6,,,
38,1,,,,OVERSITE,OPRECIP2,Second season average precipitation (mm),,millimeters,C1,RS6,,,
39,,1,,,OVERSITE,OSEASON3,Name of the third season,,,C1,,,,
40,1,,,,OVERSITE,OTEMP3,Third season average temperature (cent),,centigrade,C1,RS6,,,
41,1,,,,OVERSITE,OPRECIP3,Third season average precipitation (mm),,millimeters,C1,RS6,,,
42,,1,,,OVERSITE,OSEASON4,Name of the fourth season,,,C1,,,,
43,1,,,,OVERSITE,OTEMP4,Fourth season average temperature (cent),,centigrade,C1,RS6,,,
44,1,,,,OVERSITE,OPRECIP4,Fourth season average precipitation (mm),,millimeters,C1,RS6,,,
45,1,,,,OVERSITE,OSITELAT,Latitude of site,,decimal degrees,C2,RS9,,,
46,1,,,,OVERSITE,OSITELONG,Longitude of site,,decimal degrees,C2a,RS9,,,
47,1,,,,OVERSITE,OSITEELEV,Elevation of site,,meters,C2b,RS9,,,
48,,1,,,OVERSITE,ODATUM,"Datum name converting latitude, longitude, and elivation to WGS 84",,,C3,,,,
49,1,,,,OVERSITE,ODX,x translation to WGS 84 in meters,,meters,C3,RS9,,,
50,1,,,,OVERSITE,ODY,y translation to WGS 84 in meters,,meters,C3,RS9,,,
51,1,,,,OVERSITE,ODZ,z translation to WGS 84 in meters,,meters,C3,RS9,,,
52,1,,,,OVERSITE,OROMEGA,r(omega) rotation to WGS 84 in radians,,radians,C3,RS9,,,
53,1,,,,OVERSITE,ORPHI,r(phi) rotation to WGS 84 in radians,,radians,C3,RS9,,,
54,1,,,,OVERSITE,ORKAPPA,r(kappa) rotation to WGS 84 in radians,,radians,C3,RS9,,,
55,,1,,,OVERSITE,ODS,Scale change to WGS 84,,,C3,,,,
56,,1,,,OVERSITE,OLOCLENGTH,Local Length/Distance units,,,C4,,,,
57,,1,,,OVERSITE,OMETLENGTH,Conversion Length/Distance to Metric,,,C4,,,,
58,,1,,,OVERSITE,OLOCAREA,Local Area units,,,C4,,,,
59,,1,,,OVERSITE,OMETAREA,Conversion Area to Metric,,,C4,,,,
60,,1,,,OVERSITE,OLOCVOL,Local Volume/Weight units,,,C4,,,,
61,,1,,,OVERSITE,OMETVOL,Conversion Volume/Weight to Metric,,,C4,,,,
62,1,,,,OVERSITE,OLOCLANG,Local language spoken by majority,,,C5,U6,,,
63,1,,,,OVERSITE,OLANGLIST,"If mulitple languages, list others",,,C5a,U6,,,
64,1,,,,OVERSITE,OLOCCALEN,Local calendar system,,,C6,U6,,,
65,,1,,,OVERSITE,OCALCONVRT,Give conversion to Gregorian Calendar,,,C7,,,,
66,,1,,,OVERSITE,OFORMDATE,Dates on forms use,8,,C8,,,,
67,,1,,,OVERSITE,OLOCCURREN,Name of local currency,,,C9,,,,
68,,1,,,OVERSITE,OEXCHRATE,Current exchange to dollar,,,C9a,,,,
69,1,,,,OVERSITE,OLABORFEM,Standard labor wage per day for women,,local currency,C10,U2,,,
70,1,,,,OVERSITE,OLABORMALE,Standard labor wage per day for men,,local currency,C10,U2,,,
71,1,,,,OVERSITE,OLABFEM5,Standard labor wage for women 5 yrs ago,,local currency,C10a,U2,,,
72,1,,,,OVERSITE,OLABMALE5,Standard labor wage for men 5 yrs ago,,local currency,C10a,U2,,,
73,,1,,,OVERSITE,OTOPOMAP,Are topography maps available,4,,C11,,,,
74,,1,,,OVERSITE,OTOPODESC,Where are topographical maps available,,,C11a,,,,
75,1,,,,OVERSITE,OPOLSHIFT,Any recent major policy shifts affecting forest utilization,,,D1,O2,,,
76,1,,,,OVERSITE,OPOLUGRP,Any pending policies that may impact any governance relationships,9,,D2,GS3,,,
77,,,76,,OVERSITE,OPOLDESC,describe pending policy changes,,,D2a,,,,
91,,2,,,FOREST,FNAME,Forest Name,,,Top,,,,
92,,2,,,FOREST,FLOCATION,District/Subdistrict,,,Top,,,,
93,,2,,,FOREST,FCODED,Previously Coded,3,,Top,,,,
94,,2,,,FOREST,FPLOTNUM,Number Plot Forms,,,TOP,,,,
95,2,,,,FOREST,FHOWOLD,How old is the forest,,,A1,RS5,RS6,,
96,2,,,,FOREST,FPLANTED,Was this forest originally planted,4,,A2,RS4,,,
97,,,96,Yes,FOREST,FINITWHO,Who planted this forest,10,,A2a,,,,
98,,,96,,FOREST,FINITNGO,Name of nongovernmental agency that planted the forest,,,A2a,,,,
99,,,96,,FOREST,FINITOTH,Other entity that planted the forest,,,A2a,,,,
100,2,,,,FOREST,FINITWHY,Describe the history of the forest,,,A3,RS5,RS6,,
101,2,,,,FOREST,FINITDON,"If this forest was planted, was there donor assistance",4,,A4,RS4,I5,,
102,,,101,Yes,FOREST,FINITDWHO,Who was the donor of the forest,,,A4a,,,,
103,2,,,,FOREST,FIMPROV,Any forest improvement projects?,4,,A5,RS4,,,
104,,,103,Yes,FOREST,FIMPROVWWW,"Who initiated forest improvement projects, when, and what was done",,,A5a,,,,
117,2,,,,FOREST,FHISTCHNG,Have there been any major changes in the forest since last visit,,,B0,U3,O2,RS6,
118,,2,,,FOREST,FSAMPLE,Please describe sampling logic and method to determine number of plots,,,B1b,,,,
119,2,,,,FOREST,FSIZE,What is the size of the forest,,hectares,B2,RS3,,,
120,2,,,,FOREST,FUNIT,Has this forest been divided into forest management units,4,,B3,RS2,,,
121,,,120,Yes,FOREST,FUNITNUM,How many forest management units has the forest been divied into,,,B3a,,,,
122,2,,,,FOREST,FUNITEQUAL,Are forest management units approximately equal in size,11,,B3c,RS2,,,
123,2,,,,FOREST,FUNITBOUND,Are forest management unit boundaries related to ecological regions,11,,B3d,RS2,,,
124,2,,,,FOREST,FUNITDIFF,Are forest management unit boundaries permanently distinguished for special uses,11,,B3e,RS2,,,
125,,,124,Yes,FOREST,FUNITDDESC,Description of special use management units,,,B3e1,,,,
126,2,,,,FOREST,FUNITCYCLE,Is there a system of regeneration and harvesting,11,,B3f,RS6,RS7,,
127,,,126,Yes,FOREST,FUNITCDESC,Description of the system of regeneration and harvesting that rotates through the management units,,,B3f1,,,,
128,,,120,Yes,FOREST,FUNITINFO,List the names and numbers of these units,,,B3g,,,,
129,2,,,,FOREST,FTOPOGRAPH,What is the topography of this forest's land,12,,B4,RS9,,,
130,,,129,Primarily steep,FOREST,FSTEEP,What is the steepness of the slope in degrees,,degrees,B4a,,,,
131,2,,,,FOREST,FOWNLAND,Who is the legal (de jure) owner of the land on which this forest is located,13,,B5,GS4,,,
132,,,131,Other or multiple types of ownership,FOREST,FOWNOTH,Description of other types of owners,,,B5,,,,
133,2,,,,FOREST,FOWNOP,Who is responsible (de facto) for the operational management of this forest,14,,B5a,GS3,GS5,,
134,,,133,Other,FOREST,FOWNOPOTH,Description of other responsible for operational management of this forest,,,B5a,,,,
135,2,,,,FOREST,FOWNPURP_,"For the person(s), organization(s), or group(s) responsible for the operational management of this forest, please rank up to three primary purposes of operational management",15,,B5b,GS3,GS5,,
136,,,135,Other,FOREST,FOWNPURPOTH,Description of other person responsible for operational management of this forest,,,B5b,,,,
137,2,,,,FOREST,FDESIGNATE,What is the official legal forest designation,,,B5c,GS4,,,
138,2,,,,FOREST,FOWNRIGHTS,Does the legal owner also own rights to harvest all products,4,,B6,GS4,,,
139,2,,,,FOREST,FOWNSELL,Can the forest owner sell this forest's land,16,,B7,GS4,,,
140,2,,,,FOREST,FVEGTYPE,What is the vegetation type of this forest,,,B8,RS1,,,
141,2,,,,FOREST,FVEGDESC,"If undefined vegetation type, then general forest type",,,B8a,RS1,,,
142,2,,,,FOREST,FTREEDENS,Has the density of the forest trees changed in the past 5 yrs,17,,B9,O3,RU3,RU2,
143,2,,,,FOREST,FTREEDENSY,List the 3 most important reasons cited by users as the reasons for change in the density of trees,,,B9a,O3,RU3,RU2,
144,2,,,,FOREST,FBUSHDENS,Has the density of the forest bushes changed in the past 5 yrs,17,,B10,O3,RU3,RU2,
145,2,,,,FOREST,FBUSHDENSY,List the 3 most important reasons cited by users as the reasons for change in the density of shrubs/bushes,,,B10a,O3,RU3,RU2,
146,2,,,,FOREST,FCOVDENS,Has the density of the forest ground cover changed in the past 5 yrs,17,,B11,O3,RU3,RU2,
147,2,,,,FOREST,FCOVDENSY,List the 3 most important reasons cited by users as the reasons for change in the density of ground cover,,,B11a,O3,RU3,RU2,
148,2,,,,FOREST,FVEGORIGIN,Was the forest planted or natural,18,,B12,RU2,RS4,,
149,2,,,,FOREST,FVEGCHANGE,Has the area of the forest changed in the past 5 yrs,17,,B13,RS3,O2,,
150,2,,,,FOREST,FINCREASE_,"If the forest area has increased, what are the reasons for the increase in the area",19,,B14,RS3,O2,,
151,,,150,Other reasons,FOREST,FINCOTH,Description of other reason for increase in forest area,,,B14,,,,
152,2,,,,FOREST,FDECREASE,"If area decreased, what are the reasons",20,,B15,RS3,O2,,
153,,,152,Other reasons,FOREST,FDECOTH,Description of other reason for decrease in forest area,,,B15,,,,
154,2,,,,FOREST,FFLOWCTRL,Are there points in forest where product flow can be controlled,,,B16,GS8,,,
155,2,,,,FOREST,FINTERFERE,"If use multiple harvesting processes, do any interfere with other products",,,B17,RU3,,,
156,2,,,,FOREST,FPRODUCTS_,What forest products/species are harvested,21,,C1,RS1,,,
157,,,156,Other (describe),FOREST,FPRODOTH,Description of other forest products/species are being harvested from this forest,,,C1,,,,
175,2,,,,FOREST,FRESATTRI_,Which attributes must residents have to enter the forest,22,,D1,GS4,GS5,,
176,,,175,Other (describe),FOREST,FRESOTH,"Description of other attributes local residents must have in order to enter this forest for recreational, religious, or other nonconsumptive uses",,,D1,,,,
177,2,,,,FOREST,FRULEDEFIN,Are there rules that specify actions for different groups,11,,D2,GS4,GS5,,
178,2,,,,FOREST,FRULEFOLL,"If there are rules for multiple groups using the forest, do the different groups generally follow the prescribed rules",11,,D2a,GS8,O1,,
179,2,,,,FOREST,FMOBILETIM,Number of months forest is used?,23,Months,D3,GS5,,,
180,2,,,,FOREST,FUSERIGHTS,Describe the structure of rights of various individuals or groups to forest use,,,D4,GS4,GS5,,
181,2,,,,FOREST,FMAINT,Do rules restrict maintenance/improvement,4,,E1,GS5,,,
182,2,,,,FOREST,FINFRA,Do rules restrict Infrastructure changes,4,,E1,GS5,,,
183,2,,,,FOREST,FSEEDS,Do rules restrict seeds or seedlings to be planted,4,,E1,GS5,,,
184,2,,,,FOREST,FWILDGAME,Do rules restrict amount of wild game trapped/killed,4,,E1,GS5,,,
185,2,,,,FOREST,FFIREWHEN,Do rules restrict when fires may be started,4,,E1,GS5,,,
186,2,,,,FOREST,FFIREWHERE,Do rules restrict where fires may be started,4,,E1,GS5,,,
187,2,,,,FOREST,FWEEDING,Do rules restrict methods of weeding,4,,E1,GS5,,,
188,2,,,,FOREST,FRULEOTH,Other restrictions on changes that may occur in the forest,4,,E1,GS5,,,
189,,,188,Yes,FOREST,FRULEDESC,Description of other restrictions on changes that may occur in the forest,,,E1,,,,
190,2,,,,FOREST,FRESTRICT,Names of organizations that define restrictions on changes that may occur in the forest,,,E1,GS5,,,
191,2,,,,FOREST,FPENTYPE1_,What type of penalties are imposed for first offense,24,,E2,GS8,,,
192,2,,,,FOREST,FPENTYPE2_,What type of penalties are imposed for second offense,24,,E2,GS8,,,
193,2,,,,FOREST,FPENTYPEN_,What type of penalties are imposed for many offenses,24,,E2,GS8,,,
194,,,191,,FOREST,FTYPEOTH,Other types of penalties are imposed on users if they break a maintenance or monitoring rule related to this forest,,,E2,,,,
195,2,,,,FOREST,FPENWHO1_,Who decides the penalty for the first offense,25,,E3,GS6,I3,O1,
196,2,,,,FOREST,FPENWHO2_,Who decides the penalty for the second offense,25,,E3,GS6,I3,O1,
197,2,,,,FOREST,FPENWHON_,Who decides the penalty for many offenses,25,,E3,GS6,I3,O1,
198,,,195,,FOREST,FWHOOTH,Other parties that decide what kind of penalty is appropriate when a maintenance or monitoring rule about this forest is observed to be broken,,,E3,,,,
199,2,,,,FOREST,FOBSERVED,Are harvesters from different user groups readily observed by each other,11,,E4,GS8,,,
200,2,,,,FOREST,FFINEIMP,"If a cash fine is imposed, who collects the fine",26,,E5,GS5,GS8,,
201,,,200,An official from another association (name the association),FOREST,FOFFICIAL,Name of other association that collects a cash fine,,,E5,,,,
202,2,,,,FOREST,FFINEUSED_,How is this cash fine used,27,,E6,GS5,GS8,,
203,,,202,Other (describe),FOREST,FFINEOTH,Description of other use of cash fines,,,E6,,,,
204,2,,,,FOREST,FCOMPLY,"If penalties are imposed, what is the level of compliance by the users",28,,E7,O1,U6,,
205,2,,,,FOREST,FRECORDS,Type of records kept concerning penalties imposed and compliance with them,29,,E8,GS8,,,
206,2,,,,FOREST,FRECACCESS,"If records are kept, are these records easily accessible to the general public",11,,E8a,GS8,,,
207,2,,,,FOREST,FVEGDENSE,The density of vegetation in this forest,30,,F1,GS5,RS3,,
208,2,,,,FOREST,FSPECIEDIV,The species diversity in this forest,30,,F2,GS5,RS3,,
209,2,,,,FOREST,FVALUECOM,The commercial value of this forest,31,,F3,RU4,,,
210,2,,,,FOREST,FVALUESUB,The subsistence value of this forest,31,,F4,RU4,,,
211,2,,,,FOREST,FCONSERVE,The type of conservation measures adopted in relation to this forest,32,,F5,O2,,,
212,2,,,,FOREST,FPROBLEMS,Most serious problems forest users will face during the next five years,,,F6,RS6,RS7,,
213,2,,,,FOREST,FOPPORTUN,Greatest opportunities forest users will face during the next five years,,,F7,RS6,RS7,,
108,21,,,,F_SPECIE,F_REASON,Plant species that disapeared which was harvested from this forest approximately 5 years ago that is no longer available,,,SUB,U3,O2,RS6,
105,,,108,,F_SPECIE,F_BIONAME,Botanical Name,,,SUB,,,,
106,,,108,,F_SPECIE,F_LOCNAME,Local Name,,,SUB,,,,
112,22,,,,F_SPECIE,F_REASON,Plant species that disapeared which was harvested from this forest approximately 10 years ago that is no longer available,,,SUB,U3,O2,RS6,
109,,,112,,F_SPECIE,F_BIONAME,Botanical Name,,,SUB,,,,
110,,,112,,F_SPECIE,F_LOCNAME,Local Name,,,SUB,,,,
116,23,,,,F_SPECIE,F_REASON,Plant species that disapeared which was harvested from this forest approximately 15 years ago that is no longer available,,,SUB,U3,O2,RS6,
113,,,116,,F_SPECIE,F_BIONAME,Botanical Name,,,SUB,,,,
114,,,116,,F_SPECIE,F_LOCNAME,Local Name,,,SUB,,,,
162,24,,,,F_ORGAN,F_IMPORT,Reason why the plant species is important,,,SUB,RU4,,,
163,24,,,,F_ORGAN,F_ABUNDANT,Is the plant species abundant,4,,SUB,RU2,,,
164,24,,,,F_ORGAN,F_USES,How is the plant species used,,,SUB,RU4,,,
158,,24,,,F_ORGAN,F_BIONAME,Botanical Name,,,SUB,,,,
159,,24,,,F_ORGAN,F_FAMILY,Family Name,,,SUB,,,,
160,,24,,,F_ORGAN,F_LOCNAME,Local Name,,,SUB,,,,
168,25,,,,F_ORGAN,F_IMPORT,Reason why the animal species is important,,,SUB,RU4,,,
169,25,,,,F_ORGAN,F_ABUNDANT,Is the animal species abundant,4,,SUB,RU2,,,
170,25,,,,F_ORGAN,F_USES,How is the animal species used,,,SUB,RU4,,,
165,,25,,,F_ORGAN,F_BIONAME,Scientific Name,,,SUB,,,,
166,,25,,,F_ORGAN,F_LOCNAME,Local Name,,,SUB,,,,
172,26,,,,F_INORG,F_IMPORT,Reason why the resource is important,,,SUB,RU4,,,
173,26,,,,F_INORG,F_ABUNDANT,Is the resource abundant,4,,SUB,RU2,,,
174,26,,,,F_INORG,F_USES,How is the resource used,,,SUB,RU4,,,
171,,26,,,F_INORG,F_PRODNAME,Product Name,,,SUB,,,,
227,,3,,,FOREST,FNAME,Name of Forest,,,Top,,,,
228,,3,,,PLOT,PPIN,Plot Id,,,Top,,,,
229,,3,,,PLOT,PPLOTDATE,Plot Date,,,Top,,,,
230,3,,,,PLOT,PAREASMALL,Small Plot Area (m^2),,,Top,RU5,,,
231,3,,,,PLOT,PAREAMEDIUM,Medium Plot Area (m^2),,,Top,RU5,,,
232,3,,,,PLOT,PAREALARGE,Large Plot Area (m^2),,,Top,RU5,,,
233,3,,,,PLOT,PSOIL,Describe the soil in the plot,,,A1,RS6,,,
234,3,,,,PLOT,PEROSION,Is there active soil erosion,33,,A2,RS5,,,
235,3,,,,PLOT,PLIVESTOCK,Evidence of livestock use,4,,A3,RU3,,,
236,3,,,,PLOT,PINSECTS,Evidence of damage by insects/pests,4,,A4,RS5,,,
237,3,,,,PLOT,PLOCATION,Is this plot located in a forest section used for specific management,4,,A5,GS8,,,
238,3,,,,PLOT,PYEARS,How many years since last harvest,,,A5a,RS5,,,
239,,,237,Yes,PLOT,PMGMTNAME,What is the name of the Forest Unit,,,A5b,,,,
240,3,,,,PLOT,PELEVATION,Plot elevation in meters,,meters,A6,RS9,,,
241,3,,,,PLOT,PSTEEP,What is the steepness of the slope in degrees,,degrees,A7,RS9,,,
242,3,,,,PLOT,PORIENT,"If the plot is on a slope, what direction does it face",34,,A8,RS9,,,
243,3,,,,PLOT,PCONDITION,Provide any other observations that pertain to plot conditions,,,A9,RS6,,,
244,3,,,,PLOT,PCROWNCOV,What is the percentage of crown cover,,,A10,RU5,,,
245,3,,,,PLOT,PEPIPHYTES,Presence of epiphytes,35,,A11,RU3,,,
260,3,,,,PLOT,PLATITUDE,Latitude of this plot,,decimal degrees,E1,RS9,,,
261,3,,,,PLOT,PLONGITUDE,Longitude of this plot,,decimal degrees,E2,RS9,,,
262,3,,,,PLOT,PDOP,Dilution of Precision (DOP),,decimal from 1 - 10,E3,RS9,,,
263,3,,,,PLOT,PEPE,Estimated Position Error (EPE) in meters,,meters,E4,RS9,,,
246,311,,,,P_GCOVER,P_PERCENT,Percent Coverage,,,SUB,RU2,,,
2461,311,,,,P_GCOVER,P_STEMCNT,Stem Count,,,SUB,RU2,,,
2462,,311,,,F_ORGAN,F_FAMILY,Family name of the plant species,,,,,,,
2463,,311,,,F_ORGAN,F_BIONAME,Botanical name of the species,,,,,,,
2464,,311,,,F_ORGAN,F_LOCNAME,Local name of the species,,,,,,,
247,312,,,,P_GCOVER,P_PERCENT,Percent Coverage,,,SUB,RU2,,,
2471,312,,,,P_GCOVER,P_STEMCNT,Stem Count,,,SUB,RU2,,,
2472,,312,,,F_ORGAN,F_FAMILY,Family name of the plant species,,,,,,,
2473,,312,,,F_ORGAN,F_BIONAME,Botanical name of the species,,,,,,,
2474,,312,,,F_ORGAN,F_LOCNAME,Local name of the species,,,,,,,
248,321,,,,P_INFO,P_DBH,Stem Diameter or DBH,,centimeters,SUB,RU2,,,
2481,321,,,,P_INFO,P_HEIGHT,Height,,meters,SUB,RU2,,,
2482,,321,,,F_ORGAN,F_FAMILY,Family name of the plant species,,,,,,,
2483,,321,,,F_ORGAN,F_BIONAME,Botanical name of the species,,,,,,,
2484,,321,,,F_ORGAN,F_LOCNAME,Local name of the species,,,,,,,
249,322,,,,P_INFO,P_DBH,Stem Diameter or DBH,,centimeters,SUB,RU2,,,
2491,322,,,,P_INFO,P_HEIGHT,Height,,meters,SUB,RU2,,,
2492,,322,,,F_ORGAN,F_FAMILY,Family name of the plant species,,,,,,,
2493,,322,,,F_ORGAN,F_BIONAME,Botanical name of the species,,,,,,,
2494,,322,,,F_ORGAN,F_LOCNAME,Local name of the species,,,,,,,
250,323,,,,P_INFO,P_DBH,Stem Diameter or DBH,,centimeters,SUB,RU2,,,
2501,323,,,,P_INFO,P_HEIGHT,Height,,meters,SUB,RU2,,,
2502,,323,,,F_ORGAN,F_FAMILY,Family name of the plant species,,,,,,,
2503,,323,,,F_ORGAN,F_BIONAME,Botanical name of the species,,,,,,,
2504,,323,,,F_ORGAN,F_LOCNAME,Local name of the species,,,,,,,
251,324,,,,P_INFO,P_DBH,Stem Diameter or DBH,,centimeters,SUB,RU2,,,
2511,324,,,,P_INFO,P_HEIGHT,Height,,meters,SUB,RU2,,,
